highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
TCP,TCP,216.58.196.65,192.168.1.35,443,19465,0,0,17,2019-01-19 15:40:59.401761,1547892659401,Unknown,
TCP,TCP,192.168.1.35,216.58.196.65,19465,443,16384,0,16,2019-01-19 15:40:59.401920,1547892659401,Unknown,
TCP,TCP,216.58.196.65,192.168.1.35,443,19465,0,0,16,2019-01-19 15:40:59.403729,1547892659403,Unknown,
SSL,TCP,192.168.1.35,172.217.31.3,19530,443,16384,0,24,2019-01-19 15:41:00.317857,1547892660317,Unknown,
SSL,TCP,192.168.1.35,172.217.166.86,19466,443,16384,0,24,2019-01-19 15:41:00.318268,1547892660318,Unknown,
SSL,TCP,192.168.1.35,172.217.166.86,19466,443,16384,0,24,2019-01-19 15:41:00.319177,1547892660319,Unknown,
TCP,TCP,192.168.1.35,172.217.166.86,19466,443,16384,0,17,2019-01-19 15:41:00.319322,1547892660319,Unknown,
SSL,TCP,192.168.1.35,172.217.31.3,19530,443,16384,0,24,2019-01-19 15:41:00.319797,1547892660319,Unknown,
TCP,TCP,192.168.1.35,172.217.31.3,19530,443,16384,0,17,2019-01-19 15:41:00.319936,1547892660319,Unknown,
TCP,TCP,172.217.31.3,192.168.1.35,443,19530,0,0,16,2019-01-19 15:41:00.384835,1547892660384,Unknown,
TCP,TCP,172.217.31.3,192.168.1.35,443,19530,0,0,17,2019-01-19 15:41:00.385148,1547892660385,Unknown,
TCP,TCP,192.168.1.35,172.217.31.3,19530,443,16384,0,16,2019-01-19 15:41:00.385279,1547892660385,Unknown,
TCP,TCP,172.217.166.86,192.168.1.35,443,19466,0,0,16,2019-01-19 15:41:00.404395,1547892660404,Unknown,
TCP,TCP,172.217.166.86,192.168.1.35,443,19466,0,0,17,2019-01-19 15:41:00.404726,1547892660404,Unknown,
TCP,TCP,192.168.1.35,172.217.166.86,19466,443,16384,0,16,2019-01-19 15:41:00.404839,1547892660404,Unknown,
TCP,TCP,172.217.166.86,192.168.1.35,443,19466,0,0,16,2019-01-19 15:41:00.406559,1547892660406,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:02.536524,1547892662536,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:02.538195,1547892662538,Unknown,
