highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data 
TCP,TCP,216.58.199.142,192.168.1.35,443,19859,0,0,16,2019-01-19 16:24:23.421616,1547895263421,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:23.448048,1547895263448,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,1,24,2019-01-19 16:24:23.449583,1547895263449,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:23.449647,1547895263449,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,11,24,2019-01-19 16:24:23.452971,1547895263452,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:23.453043,1547895263453,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,1,24,2019-01-19 16:24:23.453496,1547895263453,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:23.453706,1547895263453,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:23.453779,1547895263453,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:23.453849,1547895263453,Unknown,
TCP,TCP,172.217.166.163,192.168.1.35,443,19860,0,0,16,2019-01-19 16:24:23.465105,1547895263465,Unknown,
SSL,TCP,172.217.166.163,192.168.1.35,443,19860,0,2,24,2019-01-19 16:24:23.466140,1547895263466,Unknown,
SSL,TCP,172.217.166.163,192.168.1.35,443,19860,0,0,24,2019-01-19 16:24:23.466536,1547895263466,Unknown,
TCP,TCP,192.168.1.35,172.217.166.163,19860,443,16384,0,16,2019-01-19 16:24:23.466592,1547895263466,Unknown,
SSL,TCP,192.168.1.35,172.217.166.163,19860,443,16384,0,24,2019-01-19 16:24:23.466781,1547895263466,Unknown,
SSL,TCP,172.217.166.163,192.168.1.35,443,19860,0,0,24,2019-01-19 16:24:23.470845,1547895263470,Unknown,
TCP,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,16,2019-01-19 16:24:23.478342,1547895263478,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,2,24,2019-01-19 16:24:23.479801,1547895263479,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,24,2019-01-19 16:24:23.480024,1547895263480,Unknown,
TCP,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,16,2019-01-19 16:24:23.480080,1547895263480,Unknown,
SSL,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,24,2019-01-19 16:24:23.480261,1547895263480,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,16,2019-01-19 16:24:23.482027,1547895263482,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,11,16,2019-01-19 16:24:23.485624,1547895263485,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19853,0,11,16,2019-01-19 16:24:23.488857,1547895263488,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,16,2019-01-19 16:24:23.488940,1547895263488,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,5,24,2019-01-19 16:24:23.490366,1547895263490,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,24,2019-01-19 16:24:23.490571,1547895263490,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:23.491512,1547895263491,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19853,443,16384,1,24,2019-01-19 16:24:23.495423,1547895263495,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19853,443,16384,1,24,2019-01-19 16:24:23.496072,1547895263496,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19853,443,16384,8,24,2019-01-19 16:24:23.496139,1547895263496,Unknown,
TCP,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,16,2019-01-19 16:24:23.504496,1547895263504,Unknown,
TCP,TCP,192.168.1.35,172.217.166.163,19860,443,16384,0,16,2019-01-19 16:24:23.510824,1547895263510,Unknown,
TCP,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,16,2019-01-19 16:24:23.530818,1547895263530,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:23.543156,1547895263543,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,18,2019-01-19 16:24:23.557470,1547895263557,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19854,443,16384,0,16,2019-01-19 16:24:23.557540,1547895263557,Unknown,
TCP,TCP,172.217.166.163,192.168.1.35,443,19860,0,0,16,2019-01-19 16:24:23.589426,1547895263589,Unknown,
TCP,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,16,2019-01-19 16:24:23.603906,1547895263603,Unknown,
DATA,NONE,192.168.1.35,216.58.199.174,-1,-1,8192,11,-1,2019-01-19 16:24:23.624531,1547895263624,Unknown,
DATA,NONE,192.168.1.35,216.58.199.174,-1,-1,8377,11,-1,2019-01-19 16:24:23.624551,1547895263624,Unknown,
ICMP,NONE,192.168.1.35,216.58.199.174,-1,-1,370,3,-1,2019-01-19 16:24:23.624564,1547895263624,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,16,2019-01-19 16:24:23.673523,1547895263673,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19854,0,11,16,2019-01-19 16:24:23.677485,1547895263677,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19854,0,11,16,2019-01-19 16:24:23.680512,1547895263680,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19854,443,16384,0,16,2019-01-19 16:24:23.680725,1547895263680,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19854,0,5,24,2019-01-19 16:24:23.681487,1547895263681,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19854,443,16384,1,24,2019-01-19 16:24:23.693418,1547895263693,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19854,443,16384,1,24,2019-01-19 16:24:23.694698,1547895263694,Unknown,
ICMP,NONE,192.168.1.35,172.217.27.196,-1,-1,0,0,-1,2019-01-19 16:24:23.725137,1547895263725,Unknown,
ICMP,NONE,172.217.27.196,192.168.1.35,-1,-1,0,0,-1,2019-01-19 16:24:23.807762,1547895263807,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,1,24,2019-01-19 16:24:23.838917,1547895263838,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:23.839125,1547895263839,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,2,24,2019-01-19 16:24:23.926421,1547895263926,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:23.927331,1547895263927,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,24,2019-01-19 16:24:23.929334,1547895263929,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,16,2019-01-19 16:24:23.929440,1547895263929,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,24,2019-01-19 16:24:23.929623,1547895263929,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:23.929881,1547895263929,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,24,2019-01-19 16:24:23.930521,1547895263930,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,5,24,2019-01-19 16:24:23.954913,1547895263954,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,16,2019-01-19 16:24:23.955103,1547895263955,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,24,2019-01-19 16:24:23.958154,1547895263958,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,24,2019-01-19 16:24:23.960517,1547895263960,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,16,2019-01-19 16:24:23.960633,1547895263960,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19853,443,16384,0,24,2019-01-19 16:24:23.960831,1547895263960,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,4,24,2019-01-19 16:24:24.028754,1547895264028,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:24.028953,1547895264028,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,6,24,2019-01-19 16:24:24.064466,1547895264064,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,1,24,2019-01-19 16:24:24.064834,1547895264064,Unknown,
TCP,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,16,2019-01-19 16:24:24.064917,1547895264064,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,2,24,2019-01-19 16:24:24.065848,1547895264065,Unknown,
SSL,TCP,216.58.199.174,192.168.1.35,443,19861,0,2,24,2019-01-19 16:24:24.066401,1547895264066,Unknown,
TCP,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,16,2019-01-19 16:24:24.066452,1547895264066,Unknown,
SSL,TCP,192.168.1.35,216.58.199.174,19861,443,16384,0,24,2019-01-19 16:24:24.066643,1547895264066,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,1,24,2019-01-19 16:24:24.082628,1547895264082,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:24.083089,1547895264083,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:24.083156,1547895264083,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:24.083228,1547895264083,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:24.083371,1547895264083,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19854,0,2,24,2019-01-19 16:24:24.100108,1547895264100,Unknown,
SSL,TCP,192.168.1.35,64.233.184.94,19854,443,16384,0,24,2019-01-19 16:24:24.100801,1547895264100,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19854,443,16384,0,17,2019-01-19 16:24:24.100889,1547895264100,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,24,2019-01-19 16:24:24.102664,1547895264102,Unknown,
TCP,TCP,192.168.1.35,64.233.184.94,19854,443,16384,0,20,2019-01-19 16:24:24.102787,1547895264102,Unknown,
SSL,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,24,2019-01-19 16:24:24.104850,1547895264104,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:24.123288,1547895264123,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:24.124457,1547895264124,Unknown,
TCP,TCP,216.58.199.174,192.168.1.35,443,19861,0,0,16,2019-01-19 16:24:24.151463,1547895264151,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:24.171945,1547895264171,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,1,24,2019-01-19 16:24:24.196940,1547895264196,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:24.197139,1547895264197,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:24.197223,1547895264197,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:24.197350,1547895264197,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:24.197931,1547895264197,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:24.329311,1547895264329,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19853,0,0,16,2019-01-19 16:24:24.391111,1547895264391,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,17,2019-01-19 16:24:24.507425,1547895264507,Unknown,
TCP,TCP,64.233.184.94,192.168.1.35,443,19854,0,0,16,2019-01-19 16:24:24.509396,1547895264509,Unknown,
ICMP,NONE,192.168.1.35,172.217.27.196,-1,-1,0,0,-1,2019-01-19 16:24:24.728975,1547895264728,Unknown,
SSL,TCP,192.168.1.35,52.230.83.250,18776,443,16384,1,24,2019-01-19 16:24:24.745552,1547895264745,Unknown,
ICMP,NONE,172.217.27.196,192.168.1.35,-1,-1,0,0,-1,2019-01-19 16:24:24.812048,1547895264812,Unknown,
SSL,TCP,52.230.83.250,192.168.1.35,443,18776,16384,1,24,2019-01-19 16:24:24.884067,1547895264884,Unknown,
TCP,TCP,192.168.1.35,52.230.83.250,18776,443,16384,0,16,2019-01-19 16:24:24.923682,1547895264923,Unknown,
ICMP,NONE,192.168.1.35,172.217.27.196,-1,-1,0,0,-1,2019-01-19 16:24:25.738479,1547895265738,Unknown,
ICMP,NONE,172.217.27.196,192.168.1.35,-1,-1,0,0,-1,2019-01-19 16:24:25.821915,1547895265821,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,4,24,2019-01-19 16:24:25.997129,1547895265997,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:25.997366,1547895265997,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:26.093492,1547895266093,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:26.096890,1547895266096,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,1,24,2019-01-19 16:24:26.165413,1547895266165,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:26.165637,1547895266165,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:26.165758,1547895266165,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:26.165881,1547895266165,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:26.166324,1547895266166,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:26.254715,1547895266254,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 16:24:26.620044,1547895266620,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 16:24:26.621737,1547895266621,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,0,2,2019-01-19 16:24:26.627355,1547895266627,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,0,18,2019-01-19 16:24:26.628721,1547895266628,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,0,16,2019-01-19 16:24:26.628931,1547895266628,Unknown,
HTTP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,1,24,2019-01-19 16:24:26.629199,1547895266629,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,0,16,2019-01-19 16:24:26.630565,1547895266630,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,11,16,2019-01-19 16:24:26.631867,1547895266631,Unknown,
XML,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,9,24,2019-01-19 16:24:26.632108,1547895266632,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,0,16,2019-01-19 16:24:26.632245,1547895266632,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,0,17,2019-01-19 16:24:26.632343,1547895266632,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,0,17,2019-01-19 16:24:26.632424,1547895266632,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19862,48025,16384,0,16,2019-01-19 16:24:26.632567,1547895266632,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19862,16384,0,16,2019-01-19 16:24:26.635385,1547895266635,Unknown,
ICMP,NONE,192.168.1.35,172.217.27.196,-1,-1,0,0,-1,2019-01-19 16:24:26.748688,1547895266748,Unknown,
ICMP,NONE,172.217.27.196,192.168.1.35,-1,-1,0,0,-1,2019-01-19 16:24:26.832766,1547895266832,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,2,24,2019-01-19 16:24:27.134358,1547895267134,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:27.227948,1547895267227,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,2,24,2019-01-19 16:24:27.358922,1547895267358,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,4,24,2019-01-19 16:24:27.360141,1547895267360,Unknown,
TCP,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,16,2019-01-19 16:24:27.360200,1547895267360,Unknown,
SSL,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,24,2019-01-19 16:24:27.360616,1547895267360,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19852,443,16384,0,24,2019-01-19 16:24:27.360789,1547895267360,Unknown,
TCP,TCP,172.217.27.196,192.168.1.35,443,19852,0,0,16,2019-01-19 16:24:27.448495,1547895267448,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,63953,53,-1,0,-1,2019-01-19 16:24:27.499845,1547895267499,Unknown,
SSL,TCP,192.168.1.35,172.217.166.170,19850,443,16384,2,24,2019-01-19 16:24:27.569432,1547895267569,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,63226,53,-1,0,-1,2019-01-19 16:24:27.597018,1547895267597,Unknown,
DNS,UDP,192.168.1.35,192.168.1.1,63953,53,0,0,-1,2019-01-19 16:24:27.624898,1547895267624,Unknown,
TCP,TCP,172.217.166.170,192.168.1.35,443,19850,0,0,16,2019-01-19 16:24:27.653960,1547895267653,Unknown,
DNS,UDP,fe80::1,fe80::e8c6:ffec:88f9:7080,53,63226,-1,2,-1,2019-01-19 16:24:27.662213,1547895267662,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,59924,53,-1,0,-1,2019-01-19 16:24:27.663724,1547895267663,Unknown,
TCP,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,2,2019-01-19 16:24:27.663734,1547895267663,Unknown,
SSL,TCP,172.217.166.170,192.168.1.35,443,19850,0,1,24,2019-01-19 16:24:27.718745,1547895267718,Unknown,
SSL,TCP,172.217.166.170,192.168.1.35,443,19850,0,2,24,2019-01-19 16:24:27.718816,1547895267718,Unknown,
TCP,TCP,192.168.1.35,172.217.166.170,19850,443,16384,0,16,2019-01-19 16:24:27.718853,1547895267718,Unknown,
TCP,TCP,172.217.166.170,192.168.1.35,443,19850,0,4,24,2019-01-19 16:24:27.719930,1547895267719,Unknown,
TCP,TCP,192.168.1.35,172.217.166.170,19850,443,16384,0,16,2019-01-19 16:24:27.720035,1547895267720,Unknown,
SSL,TCP,172.217.166.170,192.168.1.35,443,19850,0,0,24,2019-01-19 16:24:27.720097,1547895267720,Unknown,
TCP,TCP,192.168.1.35,172.217.166.170,19850,443,16384,0,16,2019-01-19 16:24:27.720144,1547895267720,Unknown,
SSL,TCP,192.168.1.35,172.217.166.170,19850,443,16384,0,24,2019-01-19 16:24:27.720195,1547895267720,Unknown,
DNS,UDP,fe80::1,fe80::e8c6:ffec:88f9:7080,53,59924,-1,2,-1,2019-01-19 16:24:27.728782,1547895267728,Unknown,
TCP,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,18,2019-01-19 16:24:27.745971,1547895267745,Unknown,
TCP,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,16,2019-01-19 16:24:27.746096,1547895267746,Unknown,
SSL,TCP,192.168.1.35,216.58.196.74,19863,443,16384,4,24,2019-01-19 16:24:27.748008,1547895267748,Unknown,
ICMP,NONE,192.168.1.35,172.217.27.196,-1,-1,0,0,-1,2019-01-19 16:24:27.765598,1547895267765,Unknown,
TCP,TCP,172.217.166.170,192.168.1.35,443,19850,0,0,16,2019-01-19 16:24:27.805729,1547895267805,Unknown,
TCP,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,16,2019-01-19 16:24:27.838647,1547895267838,Unknown,
ICMP,NONE,172.217.27.196,192.168.1.35,-1,-1,0,0,-1,2019-01-19 16:24:27.849604,1547895267849,Unknown,
SSL,TCP,216.58.196.74,192.168.1.35,443,19863,0,11,16,2019-01-19 16:24:27.900629,1547895267900,Unknown,
TCP,TCP,216.58.196.74,192.168.1.35,443,19863,0,11,16,2019-01-19 16:24:27.904035,1547895267904,Unknown,
TCP,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,16,2019-01-19 16:24:27.904124,1547895267904,Unknown,
SSL,TCP,216.58.196.74,192.168.1.35,443,19863,0,7,24,2019-01-19 16:24:27.906095,1547895267906,Unknown,
SSL,TCP,192.168.1.35,216.58.196.74,19863,443,16384,1,24,2019-01-19 16:24:27.911898,1547895267911,Unknown,
SSL,TCP,192.168.1.35,216.58.196.74,19863,443,16384,1,24,2019-01-19 16:24:27.912372,1547895267912,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,64974,53,-1,0,-1,2019-01-19 16:24:27.964115,1547895267964,Unknown,
TCP,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,16,2019-01-19 16:24:27.993599,1547895267993,Unknown,
SSL,TCP,216.58.196.74,192.168.1.35,443,19863,0,2,24,2019-01-19 16:24:27.995399,1547895267995,Unknown,
SSL,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,24,2019-01-19 16:24:27.995475,1547895267995,Unknown,
TCP,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,16,2019-01-19 16:24:27.995519,1547895267995,Unknown,
SSL,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,24,2019-01-19 16:24:27.995777,1547895267995,Unknown,
SSL,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,24,2019-01-19 16:24:27.999842,1547895267999,Unknown,
DNS,UDP,fe80::1,fe80::e8c6:ffec:88f9:7080,53,64974,-1,1,-1,2019-01-19 16:24:28.031444,1547895268031,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19864,443,16384,0,2,2019-01-19 16:24:28.032759,1547895268032,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,55939,53,-1,0,-1,2019-01-19 16:24:28.033095,1547895268033,Unknown,
TCP,TCP,192.168.1.35,216.58.196.74,19863,443,16384,0,16,2019-01-19 16:24:28.039430,1547895268039,Unknown,
DNS,UDP,fe80::1,fe80::e8c6:ffec:88f9:7080,53,55939,-1,1,-1,2019-01-19 16:24:28.097228,1547895268097,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,62653,53,-1,0,-1,2019-01-19 16:24:28.097925,1547895268097,Unknown,
TCP,TCP,216.58.196.74,192.168.1.35,443,19863,0,0,16,2019-01-19 16:24:28.117927,1547895268117,Unknown,
DNS,UDP,192.168.1.35,192.168.1.1,62653,53,0,0,-1,2019-01-19 16:24:28.223488,1547895268223,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19842,443,16384,3,24,2019-01-19 16:24:28.281921,1547895268281,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19865,443,16384,0,2,2019-01-19 16:24:28.284631,1547895268284,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19842,443,16384,4,24,2019-01-19 16:24:28.326123,1547895268326,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19864,16384,0,18,2019-01-19 16:24:28.327497,1547895268327,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19864,443,16384,0,16,2019-01-19 16:24:28.327595,1547895268327,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19842,443,16384,0,24,2019-01-19 16:24:28.327677,1547895268327,Unknown,
SSL,TCP,192.168.1.35,52.22.159.145,19864,443,16384,4,24,2019-01-19 16:24:28.329822,1547895268329,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19842,0,0,16,2019-01-19 16:24:28.412737,1547895268412,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19842,0,0,16,2019-01-19 16:24:28.419650,1547895268419,Unknown,
SSL,TCP,216.58.196.78,192.168.1.35,443,19842,0,2,24,2019-01-19 16:24:28.420653,1547895268420,Unknown,
SSL,TCP,216.58.196.78,192.168.1.35,443,19842,0,4,24,2019-01-19 16:24:28.421956,1547895268421,Unknown,
TCP,TCP,192.168.1.35,216.58.196.78,19842,443,16384,0,16,2019-01-19 16:24:28.422039,1547895268422,Unknown,
SSL,TCP,216.58.196.78,192.168.1.35,443,19842,0,0,24,2019-01-19 16:24:28.422537,1547895268422,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19842,443,16384,0,24,2019-01-19 16:24:28.422648,1547895268422,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19842,0,0,16,2019-01-19 16:24:28.463136,1547895268463,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19842,0,0,16,2019-01-19 16:24:28.508259,1547895268508,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19865,16384,0,18,2019-01-19 16:24:28.573809,1547895268573,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19865,443,16384,0,16,2019-01-19 16:24:28.574026,1547895268574,Unknown,
SSL,TCP,192.168.1.35,52.22.159.145,19865,443,16384,4,24,2019-01-19 16:24:28.580404,1547895268580,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,63953,53,-1,0,-1,2019-01-19 16:24:28.625092,1547895268625,Unknown,
DATA,NONE,192.168.1.35,216.58.199.174,-1,-1,8192,11,-1,2019-01-19 16:24:28.625353,1547895268625,Unknown,
DATA,NONE,192.168.1.35,216.58.199.174,-1,-1,8377,11,-1,2019-01-19 16:24:28.625390,1547895268625,Unknown,
ICMP,NONE,192.168.1.35,216.58.199.174,-1,-1,370,3,-1,2019-01-19 16:24:28.625417,1547895268625,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19864,16384,0,16,2019-01-19 16:24:28.644725,1547895268644,Unknown,
SSL,TCP,52.22.159.145,192.168.1.35,443,19864,16384,11,16,2019-01-19 16:24:28.647789,1547895268647,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19864,16384,11,16,2019-01-19 16:24:28.650736,1547895268650,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19864,443,16384,0,16,2019-01-19 16:24:28.650939,1547895268650,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19864,16384,11,16,2019-01-19 16:24:28.654207,1547895268654,Unknown,
TCP,TCP,52.22.159.145,192.168.1.35,443,19864,16384,0,24,2019-01-19 16:24:28.654467,1547895268654,Unknown,
TCP,TCP,192.168.1.35,52.22.159.145,19864,443,16384,0,16,2019-01-19 16:24:28.654625,1547895268654,Unknown,
SSL,TCP,52.22.159.145,192.168.1.35,443,19864,16384,4,24,2019-01-19 16:24:28.655750,1547895268655,Unknown,
